filename,model_type,num_params,chans,groups,scale,rrmse,rmse,corr,sdr
best_conv4SingleHeadNet_final_4conv_ch1_grp1_scale2_mse_only_denoise_epoch_50_weights_55_params_gen_metrics.txt,4conv,55,1,1,2,0.737847507,0.737847447,0.678412199,2.640667915
best_conv4SingleHeadNet_final_4conv_ch1_grp1_scale4_mse_only_denoise_epoch_50_weights_63_params_gen_metrics.txt,4conv,63,1,1,4,0.836598694,0.836598635,0.633307874,1.549656868
best_conv4SingleHeadNet_final_4conv_ch2_grp1_scale1_mse_only_denoise_epoch_50_weights_169_params_gen_metrics.txt,4conv,169,2,1,1,0.710069895,0.710069835,0.705380738,2.973978281
best_conv4SingleHeadNet_final_4conv_ch2_grp1_scale2_mse_only_denoise_epoch_50_weights_179_params_gen_metrics.txt,4conv,179,2,1,2,0.741844654,0.741844594,0.685375512,2.593740463
best_conv4SingleHeadNet_final_4conv_ch2_grp1_scale4_mse_only_denoise_epoch_50_weights_199_params_gen_metrics.txt,4conv,199,2,1,4,0.737927794,0.737927735,0.679130733,2.639722824
best_conv4SingleHeadNet_final_4conv_ch2_grp2_scale1_mse_only_denoise_epoch_50_weights_141_params_gen_metrics.txt,4conv,141,2,2,1,0.730421841,0.730421782,0.69926101,2.7285254
best_conv4SingleHeadNet_final_4conv_ch2_grp2_scale2_mse_only_denoise_epoch_50_weights_151_params_gen_metrics.txt,4conv,151,2,2,2,0.707521558,0.707521498,0.70821923,3.005207539
best_conv4SingleHeadNet_final_4conv_ch2_grp2_scale4_mse_only_denoise_epoch_50_weights_171_params_gen_metrics.txt,4conv,171,2,2,4,0.716960549,0.71696049,0.698888361,2.890095234
best_conv4SingleHeadNet_final_4conv_ch4_grp1_scale1_mse_only_denoise_epoch_50_weights_609_params_gen_metrics.txt,4conv,609,4,1,1,0.721550584,0.721550524,0.696803629,2.834665298
best_conv4SingleHeadNet_final_4conv_ch4_grp1_scale2_mse_only_denoise_epoch_50_weights_637_params_gen_metrics.txt,4conv,637,4,1,2,0.703506827,0.703506768,0.713372409,3.054633617
best_conv4SingleHeadNet_final_4conv_ch4_grp1_scale4_mse_only_denoise_epoch_50_weights_693_params_gen_metrics.txt,4conv,693,4,1,4,0.71197015,0.711970091,0.707759619,2.950764894
best_conv4SingleHeadNet_final_4conv_ch4_grp2_scale1_mse_only_denoise_epoch_50_weights_497_params_gen_metrics.txt,4conv,497,4,2,1,0.716185451,0.716185391,0.701301098,2.899490356
best_conv4SingleHeadNet_final_4conv_ch4_grp2_scale2_mse_only_denoise_epoch_50_weights_525_params_gen_metrics.txt,4conv,525,4,2,2,0.711473763,0.711473703,0.705539703,2.956822872
best_conv4SingleHeadNet_final_4conv_ch4_grp2_scale4_mse_only_denoise_epoch_50_weights_581_params_gen_metrics.txt,4conv,581,4,2,4,0.721565485,0.721565425,0.696994662,2.834485054
best_conv4SingleHeadNet_final_4conv_ch4_grp4_scale1_mse_only_denoise_epoch_50_weights_385_params_gen_metrics.txt,4conv,385,4,4,1,0.71580869,0.71580863,0.70050329,2.904061317
best_conv4SingleHeadNet_final_4conv_ch4_grp4_scale2_mse_only_denoise_epoch_50_weights_413_params_gen_metrics.txt,4conv,413,4,4,2,0.71399641,0.713996351,0.70093745,2.926079988
best_conv4SingleHeadNet_final_4conv_ch4_grp4_scale4_mse_only_denoise_epoch_50_weights_469_params_gen_metrics.txt,4conv,469,4,4,4,0.707130671,0.707130611,0.709469259,3.010007381
best_conv4SingleHeadNet_final_4conv_ch8_grp1_scale1_mse_only_denoise_epoch_50_weights_2305_params_gen_metrics.txt,4conv,2305,8,1,1,0.713394582,0.713394523,0.705860019,2.933404207
best_conv4SingleHeadNet_final_4conv_ch8_grp1_scale2_mse_only_denoise_epoch_50_weights_2393_params_gen_metrics.txt,4conv,2393,8,1,2,0.697613716,0.697613657,0.719666839,3.127700329
best_conv4SingleHeadNet_final_4conv_ch8_grp1_scale4_mse_only_denoise_epoch_50_weights_2569_params_gen_metrics.txt,4conv,2569,8,1,4,0.710844457,0.710844398,0.706904531,2.964508772
best_conv4SingleHeadNet_final_4conv_ch8_grp2_scale1_mse_only_denoise_epoch_50_weights_1857_params_gen_metrics.txt,4conv,1857,8,2,1,0.701818883,0.701818824,0.71586436,3.075499535
best_conv4SingleHeadNet_final_4conv_ch8_grp2_scale2_mse_only_denoise_epoch_50_weights_1945_params_gen_metrics.txt,4conv,1945,8,2,2,0.717191458,0.717191398,0.701074719,2.887297869
best_conv4SingleHeadNet_final_4conv_ch8_grp2_scale4_mse_only_denoise_epoch_50_weights_2121_params_gen_metrics.txt,4conv,2121,8,2,4,0.702606499,0.70260644,0.714469552,3.065757275
best_conv4SingleHeadNet_final_4conv_ch8_grp4_scale1_mse_only_denoise_epoch_50_weights_1409_params_gen_metrics.txt,4conv,1409,8,4,1,0.706573009,0.70657295,0.710054278,3.016859293
